Organisation,KVK number
AdSysCo B.V.,034194247
ADT Nederland B.V.,076553426
Adtraction Nederland B.V.,074284460
Advalley B.V.,034355881
ADValue PMC B.V.,085965553
Advanced Chiropractic Studio B.V.,027197227
Advanced Electromagnetics B.V.,017235479
Advanced Encryption Technology Europe B.V.,009114089
Advanced Industrial Computer Europe B.V.,030194704
Advantech Europe B.V.,024284472
Advanza B.V.,062910353
Advario B.V.,084312610
Adver-Online B.V.,037081975
Adversitement B.V.,017124430
Advise Technologies Netherlands B.V.,063318245
Advisie Automatisering B.V.,031033154
Advision Finance B.V.,058981314
Advocate Benelux Field Marketing B.V.,030132353
Adyen N.V.,034259528
AEB Exploitatie B.V.,058867937
AECOM Netherlands B.V.,027119183
Aectual B.V.,058864598
AEG Power Solutions B.V.,027270545
AEGIR-Marine Employment Services B.V.,084298685
AEGIR-Marine Production B.V.,054357691
AEGON Employees Netherlands B.V.,089261437
AEGON N.V.,027076669
AEO Europe Retail Co. B.V.,086530763
Aeon Astron Europe B.V.,027313329
Aeon Plaza Hotels Management B.V,034219929
Aerbio B.V.,080907970
AerCap Holdings N.V.,034251954
AerData B.V.,034277357
AERKOEL Service B.V.,073562734
Aero Express B.V.,069140901
Aeronamic,008127192
Aerox B.V.,031020309
AES Global Power Holdings B.V.,024276196
AES International B.V.,067811477
Aesis B.V.,081467958
Aetina Europe B.V.,085284688
Aevitas Property Partners Coöperatief U.A.,055653804
Afa Dispensing Group B.V.,017192702
AFC Ajax N.V.,033302453
AFCONA Additives B.V.,034374635
Affidea B.V.,027289621
Affinius Capital Europe B.V.,067464300
AFHCo Stores Netherlands B.V.,051420074
African Asset Finance Company Holdings B.V.,071321446
African Clean Energy B.V.,061155748
African Health Systems Management Company B.V.,034266755
AFRY Netherlands B.V.,088584917
AFS Energy B.V.,037086118
AFS Interest B.V.,033226084
AfterShokz Euro B.V.,074715739
AG Neovo Technology B.V.,024308102
AG5 B.V.,034233942
A-Gas Nederland B.V.,014079856
AGC Chemicals Europe Commercial Centre,034259986
Agco B.V.,017033388
Agendia N.V.,034185452
Agenor Technology B.V.,061953555
agentschap College ter Beoordeling van Geneesmiddelen,050658131
Agerion IT B.V.,024355449
Agga Technologies B.V.,071083073
Agglomix B.V.,018080454
Aggreko Nederland B.V.,023046086
Agiboo B.V.,032157662
Agidens Life Sciences B.V.,053704746
Agile Cockpit B.V.,062062719
agile42 Consulting B.V.,059402342
Agilent Technologies Netherlands B.V.,034115690
AgiLight B.V.,070711879
Agiliz B.V.,069295611
Agium Financiële Detachering B.V.,027250371
Agora Zaanstreek,034149420
Agracom B.V.,065467469
Agri Information Partners,009133823
Agrico B.V.,032143948
Agrico Research,039020961
Agricultural Production & Handling B.V.,001076622
Agrifac Machinery B.V.,001139456
Agrifirm Group B.V.,050003631
Agrifirm NWE B.V.,016050353
AgriFood Trade B.V.,030212165
Agrioil B.V.,024137513
AgriPlace B.V.,072188561
AgroCare Ontwikkeling B.V.,027274144
Agrovision B.V.,038018161
AgroWizard B.V.,080210201
AguroTech B.V.,081016816
AGV International B.V.,064215318
Ahold Delhaize European Business Services B.V.,061640220
Ahold Delhaize GSO B.V.,061639699
AHS Services B.V.,071845585
AHV International B.V.,059567821
Aicotek B.V.,066823803
Aidan Strain Electrical Engineering Limited,063825872
AIDE Energy Europe B.V.,054452872
Aiden Netherlands B.V.,069505160
Aidence B.V.,064531694
AIG Europe S.A.,071305491
Aigostar B.V.,060512091
Aiko Energy Netherlands B.V.,089030451
AIMMS B.V.,034068128
AimValley B.V.,032096051
Aina Zorg,077109759
Aiqos CPM B.V.,071140123
Air Agencies Benelux B.V.,024355288
Air China Limited,028111701
Air Energi Netherlands,053908775
Air Liquide B.V.,017063904
Air Liquide Industrie B.V.,024266306
Air Products Nederland B.V.,029048443
AirBeamTV B.V.,061079634
Airblast B.V.,037046071
AirBliss+ B.V.,072121203
Airbnb Netherlands B.V.,072077166
Airborne Development B.V.,027238301
Airbus Netherlands B.V.,028086907
Aircargo.nl B.V.,034251536
Aircraft Maintenance Netherlands B.V.,056003005
Aircrete Systems B.V.,008166036
AirHub B.V.,068463812
Airios,034090225
"AirLife Netherlands Holdings, B.V.",090558014
Airofiller Equipment Solutions B.V.,030108663
Airpack Nederland B.V.,022030896
Air-Paq B.V.,072334789
Airspace B.V.,078301084
Airtel Mobile Commerce B.V.,034375413
Airtrade Holland B.V.,033248489
Airwallex (Netherlands) B.V.,077519256
AISWEI B.V.,075780291
AJC International B.V.,073703206
Ajisen Europe B.V.,027307418
Akamai Technologies Netherlands B.V.,034153909
AKD N.V.,024366820
Akkodis Netherlands B.V.,017102525
Akkodis Netherlands International B.V.,034277257
AKOS B.V.,008037027
AKQA B.V.,034275347
Akros Pharma Inc. Netherlands Branch,076925439
AKSA Power Generation Europe B.V.,078194628
Akshayapatram B.V.,083444033
Aktief Team B.V.,056611560
Akzend/SMS Uitzendburo B.V.,017060244
AKZO Nobel Car Refinishes,028080293
AKZO Nobel Decorative Coatings,028080295
Akzo Nobel N.V.,009007809
AKZO Nobel Nederland B.V.,009011382
AL International Transport & Logistics B.V.,057661383
A-Label IT B.V.,030284115
AlAlim Legal B.V.,027348139
Alara-Lukagro B.V.,023033397
Albelli B.V.,069103437
Albert Heijn B.V.,035012085
Albert Heijn Support B.V.,034305784
Alblasserdam Yachtbuilding B.V.,024337487
AlbumPrinter Productions B.V.,027285301
Alcadis B.V.,032094060
Alcan Holdings Nederland B.V.,020069216
Alcatraz Interlocks B.V.,020081525
Alcedo B.V.,008108022
Alco Energy Rotterdam B.V.,066377021
Alcoa Nederland Holding B.V.,066023068
Aldora Dienstverlening B.V.,065142543
Aldowa Projects B.V.,076600416
Aleph The Netherlands Corporation B.V.,052636003
Alewijnse Netherlands B.V.,055752713
Alexander Mann Solutions B.V.,034238256
Alfa Laval Benelux B.V.,030077778
Alfa Laval Nijmegen B.V.,010143387
Alfaro Tandheelkunde B.V.,087409259
Alfen B.V.,039037364
Alfen N.V.,064462846
Algeco B.V.,016063640
Algorithmic Trading Group Netherlands Management B.V.,051315521
Alibaba (Netherlands) B.V.,065271505
Alicat Scientific B.V.,074014358
Alicia Insurance B.V.,075354608
Align B.V.,033168549
Align Matters B.V.,087542978
Align Netherlands B.V.,089386434
Align Technology B.V.,034207531
Alimentiv B.V.,058050043
Al-Khier Food B.V.,069303363
All Capital Holding B.V.,024236419
All Time Code Stars B.V.,076895920
All Trading B.V.,034251664
ALL2MD B.V.,066293634
All4Trade B.V.,063961350
Allard Architecture B.V.,034280497
Allchiefs B.V.,071883800
Alleari B.V.,059554851
Allegis Contracting Services B.V.,034193804
Allegis Group B.V.,014109133
Allego B.V.,054100038
Allego Employment B.V.,071531769
Allego Holding B.V.,073283754
Allen Overy Shearman Sterling LLP,034368587
Alliance Healthcare Management Services (Nederland) B.V.,053833295
Alliance Laundry (Netherlands) B.V.,071041389
Alliance Tire Europe B.V.,034145205
Alliander N.V.,034108286
Allianz Benelux,059395435
"Allianz Direct Versicherungs-AG, Dutch branch",082940533
Allianz Global Assistance,033094603
Allianz Global Corporate & Specialty SE,059935618
Allianz Nederland Groep N.V.,024155648
Allianz Technology SE,072029854
All-In Facility Services B.V.,069746842
Allinq Group B.V.,008085412
Allinq Insite B.V.,039087077
Allison Transmission Europe B.V.,023077575
Allnex Netherlands B.V.,020025410
Allocacoc B.V.,050859110
Allroad Projecten B.V.,017235279
Allseas Engineering B.V.,027233498
Allseas Welding Services B.V.,083351574
Allshare Finance B.V.,030096365
AllSolutions B.V.,030180615
Allucent (NL) B.V.,030225482
AllYourBI B.V.,062936808
Alma Resources B.V.,060974796
Alma Trading B.V.,060156244
Almatis B.V.,024253371
Almazara B.V.,068093861
Almende BV,024307997
Alnylam Netherlands B.V.,069382115
Alpha Assembly Solutions Netherlands B.V.,032028941
Alpha Financial Markets Consulting Netherlands B.V.,061668451
"Alpha FX Netherlands Limited, Dutch Branch",078318858
Alphacomm Solutions B.V.,024243279
AlphaGrep Amsterdam B.V.,088509079
Alphatron Marine B.V.,024182635
Alphatron Medical Innovations B.V.,052371433
Alpine Grove (Netherlands) B.V.,062698788
Alpine Nederland B.V.,032094029
AlpInvest Partners B.V.,027186537
Alpla Nederland B.V.,030120159
ALSTOM Netherlands B.V.,034308168
Alt. Medical B.V.,002071650
AltaDent,072513039
Altcon Equipment B.V.,051736349
Alten Nederland B.V.,024382391
Alter Domus Nederland B.V.,034270994
Altimedia B.V.,060449497
Altis Marine Services B.V.,095360662
Altrad Services B.V.,033057851
Altran Netherlands B.V.,034106539
Altrex B.V.,008012289
Altum Consulting B.V.,066590671
Altum RF International B.V.,071400192
Altura B.V.,082677530
Alucha Works B.V.,085844411
Alumet B.V.,020026381
Aluminium & Chemie Rotterdam B.V.,024120312
ALVA B.V.,081630190
Alvarez & Marsal Benelux B.V.,034283629
Alver B.V.,085539570
AM Flex Solutions.B.V.,076707644
AMADA WELD TECH B.V.,017040286
Amadeus Benelux,033273584
Amadeus Hospitality Netherlands B.V.,035027356
Amanos Projektbureau B.V.,024280094
Amaris Netherlands B.V.,057638527
Amarna Therapeutics B.V.,052831825
Amarula Solutions B.V.,053730941
Amazon CS Netherlands B.V.,077956311
Amazon Data Services Netherlands N.V.,061925926
Amazon Development Center (Netherlands) B.V.,056869649
"Amazon EU SARL, Dutch Branch",074430661
Amazon Online Netherlands B.V.,076926605
Amazon Transport Netherlands B.V.,034227844
"Amazon Web Services EMEA SARL, Dutch Branch",068579780
AmbAgon Therapeutics B.V.,078067197
Ambassadors B.V.,054069475
Ambassadors Lab B.V.,052965139
Ambassadors Visual Effects B.V.,034271010
Amber Garden B.V.,068697864
Amber Implants B.V.,065089545
Amberscript B.V.,070427585
Amberscript Global B.V.,081461887
Ambrell B.V.,057312281
Ambroise Holland B.V.,006073110
AMC Studios International B.V.,063881713
AMCO Solutions B.V.,061663395
Amcor Specialty Cartons Brabant B.V.,020073363
Amdocs B.V.,034109782
Amelia NL B.V.,076963632
America II Europe B.V.,080988830
American Express Europe S.A. (Netherlands branch),071660275
"American Express Payments Europe, S.L. (Netherlands branch)",071767126
American Orthodontics B.V.,011047739
Americold Netherlands II B.V.,059299312
AM-Flow Holding B.V.,063558963
Amgen B.V.,020060763
Amgen Europe B.V.,020080576
Amicorp Netherlands B.V.,032015492
Amiri Collections B.V.,057649693
Amis Services B.V.,030114159
AMISYS Co. Ltd.,068731124
Amity Global Education,068862555
Ammega Group B.V.,071725385
AMMP Technologies B.V.,073076872
"Amnesty International, Afdeling Nederland",040530953
AMO Groningen B.V.,002032828
Ampelmann Operations B.V.,027340502
Amperapark B.V.,071376518
Ampersan Services NL B.V.,085920037
Ampersand Management B.V.,068755066
AM-Pharma B.V.,028087313
Amphenol Benelux B.V.,030073649
Amphia Ziekenhuis,020100257
Ampire Vastgoed B.V.,058043713
Ampleon Coöperatief U.A.,064552926
Ampleon Netherlands B.V.,063399113
Amplify B.V.,066549523
Amplitude Analytics B.V.,068002459
Ampowr B.V.,082591326
AMS Green Markets B.V.,083905308
ams Sensors Netherlands B.V.,076711188
AMS Sourcing B.V.,034140623
AMSE,024312508
Amsino HR B.V.,059003251
AMSMA Group B.V.,055412688
AMST-Aviation B.V.,071778705
Amsterdam,034366966
Amsterdam Capital Partners B.V.,061570982
Amsterdam Data Collective B.V.,068312148
Amsterdam Downtown Hotel B.V.,062236970
Amsterdam Institute of Technology B.V.,064758958
Amsterdam Internet Exchange B.V.,034128666
Amsterdam Platform Creation B.V.,077884124
Amsterdam Scientific Instruments B.V.,052038408
Amsterdam Scrap Terminal B.V.,067207405
Amsterdam Software B.V.,034143911
Amsterdam UMC Research B.V.,033284074
Amsterdam VentureLab B.V.,061738840
Amsterdamse Hogeschool voor de Kunsten,041210838
AMSYSTEMS B.V.,075875969
An Info Systems B.V.,075094541
ANA Architecten B.V.,084068779
Anaar B.V.,054402506
Anachron B.V.,034124936
Anachron Technology B.V.,051497190
Anadolubank Nederland N.V.,034239060
Anago B.V.,030174530
AnalitiQs B.V.,063430371
Analog Folk B.V.,074187376
Analytical Solutions and Products B.V.,034128662
Analytics in HR B.V.,066776163
Analytix Power B.V.,083422781
Ananda B.V.,057805199
Ananda Digital Technologies B.V.,071017216
Anaplan Nederland B.V.,059187352
Anatolia B.V.,034259163
AncoferWaldram Steelplates B.V.,020031659
AND Digital Nederland B.V.,082470960
Andile B.V.,077666194
Andre Rieu Productions B.V.,014625884
anDREa B.V.,083360263
Andries Geerse Stedenbouwkundige B.V.,024338706
ANDRITZ FEED & BIOFUEL B.V.,017045790
ANDRITZ Gouda B.V.,029019468
Andritz Metals France SAS,066537754
aNewSpring,024308587
Angara DX B.V.,084560509
"Angelo, Gordon Netherlands B.V.",034332986
AngioDynamics Netherlands B.V.,034164980
Angiogenesis Analytics B.V.,072117583
Anglia NL. B.V.,083774505
Anglo-Eastern Ship Management (NL) B.V.,070959250
AniCura Netherlands B.V.,064331326
AniForm Engineering B.V.,051841894
Animal Health Concepts B.V.,053350472
Anixter Nederland B.V.,024259899
Anji Logistics Europe B.V.,092049230
Anker Recruitment B.V.,081850891
Ankerbeer B.V.,002077646
ANKO Food Tech B.V.,093727593
Anna Agency B.V.,034365521
ANNA Dutch B.V.,017232319
Anna Technology B.V.,081123272
Annogen B.V.,076696073
Annual Insight B.V.,060965401
Anomaly B.V.,053239148
Anopanel B.V.,017228082
Anotech Energy Netherlands B.V.,075873095
AnQore B.V.,014052072
Anritsu Infivis B.V.,074789163
Ans Exam B.V.,063652374
ANSINGER B.V.,065738470
ANSYS Netherlands,066972264
Antaris Solutions B.V.,050302108
Antec Europe,024296662
Antec Leyden B.V.,028051415
Antek Europe B.V.,032107722
AntenneX B.V.,090378431
Anterra Capital B.V.,058012281
Anteryon B.V.,017137217
Anteverta-mw B.V.,027378405
ANTFIN (NETHERLANDS) HOLDING B.V.,076219801
Anthesis B.V.,030180751
Anthony Veder Rederijzaken B.V.,024167719
Anthos Fund & Asset Management B.V.,034258108
Anthos Private Wealth Management B.V.,034201104
Antlia Advies en Consultancy B.V.,077439465
Anton Paar Netherlands B.V.,087790408
ANVA B.V.,070547319
Anvil Ventures The Netherlands B.V.,074628267
ANWB B.V.,027157000
ANWB Reizen B.V.,027153706
ANWB Retail B.V.,075467186
Anyone.com B.V.,087900769
AOC International (Europe) B.V.,052168204
AOC Nederland B.V.,004063810
"Aoki Co.,LTD Rotterdam Branch",024472319
Aon Groep Nederland B.V.,024001497
Aopen Computer B.V.,016084198
Apacer Technology B.V.,017102989
Apandam Europe B.V.,066488567
Apara B.V.,082444463
Apeel Netherlands B.V.,074822683
Apeldoorn Orthodontie,001167738
Apex Financial Services B.V.,028065255
Apex Global Logistics (NL) B.V.,062432818
Apexmed International B.V.,034159173
APG Asset Management N.V.,058476369
APG Fondsenbedrijf,014099617
APG Groep N.V.,014099616
APL Logistics Europe B.V.,024315271
APM Terminals Maasvlakte II B.V.,024399863
APM Terminals Management B.V.,024354277
Apo SHS B.V.,024333211
Apolix B.V.,075820706
Apollo Capital Solutions Europe B.V.,085881678
Apollo Seiko Europe B.V.,063160498
Apollo Tyres (Europe) B.V.,054806941
Apollo Tyres (NL) B.V.,034223268
Apollo Tyres Global R&D B.V.,055648118
Apotheek Jager Bruining B.V.,027280941
Appical B.V.,054038502
Apple Benelux B.V.,030063224
Apple Inn Hotel B.V.,034170567
Apple Retail Netherlands B.V.,034236124
Applied Drone Innovations B.V.,072238542
Applied Materials Europe B.V.,034062769
Applied Medical Europe B.V.,032115550
"Applied Micro Electronics """"AME"""" B.V.",017092884
Applied Nanolayers B.V.,055596630
Applied Principles B.V.,080005047
Applied Risk B.V.,055381456
Applied Value Technologies B.V.,087625784
Applikon Biotechnology B.V.,024233266
Approba Executives Flecs B.V.,014067432
AppSignal B.V.,062960407
Apptitude B.V.,032168888
AppyThings B.V.,061889733
APS Group B.V.,051336634
APS Uitzendburo B.V.,017060180
Aqana B.V.,052658953
AQS European Real Estate Coöperatief U.A.,066996236
AQTIS Medical B.V.,030220215
Aqua Vision B.V.,030215805
AquaBattery,060486015
Aquacare Europe B.V.,017107938
Aqua-Spark Operating B.V.,060039809
Aquatic Drones B.V.,066266149
Aquent LLC,054234395
Araco International B.V.,008160200
ARAG SE Nederland,055794173
Aragen Life Sciences B.V.,058267026
Arai Helmet (Europe) B.V.,008018253
Araido B.V.,070206821
ARAM Technology Services,024328120
Aramco Overseas Company B.V.,028040948
Aramex Nederland B.V.,034196827
Aratis B.V.,027303614
Aratis System Experts B.V.,073305367
Arauco Europe Coöperatief U.A.,050951998
ArboNed B.V.,030120994
ARC Phone Accessories B.V.,077650913
Arcadia Maritime Group B.V.,074149806
Arcadis Global B.V.,057602255
ARCADIS N.V.,009051284
ARCADIS Nederland B.V.,009036504
ArcelorMittal Netherlands B.V.,033297298
ArcelorMittal Projects Europe B.V.,020081827
Archer Daniels Midland Europe B.V.,024149451
Archer Hotel Capital B.V.,050342762
Architechts N.V.,069903042
Architectenbureau Cepezed B.V.,027223130
Architectenbureau Popma en ter Steege,050104853
ArchLynk Netherlands B.V.,073331163
Arcimboldo B.V.,072025840
Arcus European Investment Manager Netherlands B.V.,081729383
Arcwide B.V.,084717173
Ardagh Glass Benelux,018110358
Ardagh Metal Beverage Netherlands B.V.,016088794
Ardena Amsterdam B.V.,034336591
Ardena Oss B.V.,055049079
AR-Development B.V.,065122011
Ardos B.V.,014091850
Area of People B.V.,072862106
Arec Crop Protection B.V.,057817146
Arena Aviation Capital B.V.,060274050
Arena Aviation Partners B.V.,067644694
Arep Accountants & Belastingadviseurs B.V.,030145890
Argent Energy Netherlands Holding B.V.,071874534
Argentex B.V.,081662076
Argentrade International B.V.,024237237
Argo Coral Maritime Ltd,055685897
Argo Design Europe B.V.,074040723
ARGO MOTOR SPARES B.V.,080257429
Ariana Garden B.V.,085925160
Ariane Zorggroep B.V.,092383041
Arisphone B.V.,082238707
Aristos B.V.,068108001
Arjo Nederland B.V.,069089396
ARKEMA B.V.,024270059
Arkitech International B.V.,068330448
Arkoil Technologies Nederland B.V.,055123465
Arkray Europe B.V.,034214240
Arktura B.V.,073723754
Arla Foods B.V.,032151766
ARLANXEO Holding B.V.,064658066
ARLANXEO Netherlands B.V.,014032465
Armada Consultants B.V.,027269718
Armflow Pump Technologies B.V.,064125920
Arnold & Siedsma B.V.,020060991
Arnold Suhr Netherlands B.V.,030082985
Aroundtown Management NL B.V.,066881307
ARQ Nationaal Psychotrauma Centrum,027310568
Array Industries Engineering B.V.,029035351
ARRIS Group B.V.,039080338
ARS Traffic & Transport Technology B.V.,027168565
Artefact Benelux,051364247
Artemis Bioservices B.V.,086350404
ArtEZ Hogeschool voor de Kunsten,009109756
Arthe Civil & Structure B.V.,030236509
Arthrex Distribution Hub EMEA B.V,064031454
Arthrex Nederland B.V.,017213459
Arthur D. Little Benelux N.V.,024336922
Arthur's Legal B.V.,034226401
Artificial Design,061953679
Artinis Medical Systems B.V.,009127900
Artipoppe B.V.,057904758
Arts en Zorg B.V.,032104230
"Artsen zonder Grenzen (Médecins Sans Frontières, Nederland)",041215974
Arup B.V.,034143988
Arval B.V.,030139084
Arvato Netherlands B.V.,033238888
Aryza B.V.,030116651
ASA International N.V.,030251052
Asahi Biosciences Europe Branch,096935340
ASAHI INTECC EUROPE B.V.,077482530
"Asahi Tanker Co. , Ltd. Europe Office",078465192
ASAMCO,020071395
Asbuilt Solutions B.V.,063331071
Asc Academics B.V.,063249863
ASCI Netherlands B.V.,074368249
Ascom (Nederland) B.V.,030041716
Ascott Hospitality (Europe) N.V.,050042971
ASE NL Service Center B.V.,059083573
Asfalt Productie Tiel (APT) B.V.,066151295
Ashland Industries Nederland B.V.,027022150
Ashland Services,024267865
Asica Group B.V.,070311765
ASICS Europe B.V.,034092761
ASICS Technology B.V.,087169347
Asimo Networks B.V.,069725284
Ask Community Systems B.V.,024339751
